new entry "Interrupt_Bulwark"
type "InterruptData"
data "DisplayName" "h019fcda4ga5c2g4ce6g866fg8cb50640f787;1"
data "Description" "h82a0caeagc07eg4be2g89c9gbdbae1eb7951;5"
data "Icon" "ICON_PLD_Bulwark"
data "InterruptContext" "OnPreDamage"
data "InterruptContextScope" "Self"
data "Container" "YesNoDecision"
data "Conditions" "IsAbleToReact(context.Observer) and Self(context.Target,context.Observer) and not AnyEntityIsItem()"
data "Properties" "AdjustRoll(OBSERVER_OBSERVER,-(LevelMapValue(FFXIV_PLD_Bonus)*2))"
data "Cost" ""
data "InterruptDefaultValue" "Enabled"
data "EnableCondition" "not HasStatus('SG_Polymorph') or Tagged('MINDFLAYER')"
data "EnableContext" "OnStatusApplied"
